Output,RG,RF,RZ,RP,RYM,RZM,CG,CF,CZ,CP,CYM,CZM
10.8405,0.2713199174,0.0671781858,1260.6213764,86.723715572,-1001.68029785,-0.7113192781,0.2260419939,0.1127168267,1257.23520387,122.021655751,-1001.68029785,-0.7113192781
10.7724642857,0.2731037733,0.0761020396,1256.86007169,87.4837239583,-1001.57250977,-0.3650864401,0.2259550881,0.1117608628,1243.52538507,123.525722559,-1001.57250977,-0.3650864401
10.7393357143,0.270624671,0.0651793523,1298.19085904,90.1623742055,-1006.73364258,-0.0953223194,0.2243907837,0.1115001454,1298.19085904,127.82156776,-1006.73364258,-0.0953223194
10.57155,0.2663662866,0.0680472439,1315.71221177,90.4975503178,-1002.46838379,0.0474957741,0.2226526676,0.1121953918,1311.27289933,128.430117241,-1002.46838379,0.0474957741
10.6817357143,0.270624671,0.0643972001,1286.08353453,89.4754700742,-1008.10742188,0.8064228079,0.2237824431,0.1114132396,1283.41175884,126.053973877,-1008.10742188,0.8064228079
10.7542071429,0.272002186,0.0623953896,1341.29642927,92.3720537606,-1003.19055176,-0.628318201,0.2251621929,0.1093222843,1334.02406764,131.28021588,-1003.19055176,-0.628318201
10.8424071429,0.2702641528,0.0659583576,1275.29457787,90.9113479873,-1007.08178711,0.8983194473,0.2240939019,0.1124447508,1265.2641143,127.93545266,-1007.08178711,0.8983194473
10.9430357143,0.2697556129,0.0640495769,1344.4575978,91.5403204449,-1008.98474121,0.5204879947,0.2231741024,0.1109787106,1344.4575978,129.079597935,-1008.98474121,0.5204879947
11.0482357143,0.2721020696,0.0616162144,1354.30742305,95.607951536,-1009.3984375,0.1595458811,0.2225657618,0.1108918048,1353.62671118,134.973123298,-1009.3984375,0.1595458811
11.1044642857,0.2695077531,0.0633573531,1392.74960908,95.7941604873,-1005.3215332,-0.6338040895,0.219795262,0.1127222044,1392.74960908,136.254709124,-1005.3215332,-0.6338040895
11.1706357143,0.2722801805,0.0594811694,1395.23213979,94.1813151042,-1005.68286133,-0.2391875293,0.2204050802,0.1114417311,1389.87899038,134.167905637,-1005.68286133,-0.2391875293
11.2947285714,0.2671484388,0.0645710117,1320.53804029,95.8396782309,-1009.62878418,0.047906798,0.2197847761,0.1124561093,1320.53804029,135.698652412,-1009.62878418,0.047906798
11.4192285714,0.2580641103,0.0869938625,1382.45135725,100.695379849,-1004.75598145,-0.3190232554,0.2182308829,0.1153295029,1374.4733016,142.604586953,-1004.75598145,-0.3190232554
